action,left_source_id,right_source_id,canonical_station_id,reason,verified_by,verified_at
KEEP_SEPARATE,S1-2-240,KR-K4-P314,,"신촌역(2호선, 서대문구)과 신촌역(경의중앙선)은 도보 환승 거리에 있지만 공식 환승 통로로 연결된 하나의 역이 아니다 — 동명이역으로 분리한다.",user,2026-09-07
KEEP_SEPARATE,S1-5-522,KR-K4-K135,,"양평역(5호선, 영등포구)과 양평역(경의중앙선, 양평군)은 이름만 같을 뿐 완전히 다른 지역에 있는 별개의 역이다 — 동명이역으로 분리한다. (2026-09-14: 5호선 원본 코드 전체 재정렬로 source_record_id가 S1-5-2523→S1-5-522로 바뀌어 갱신함.)",user,2026-09-07
MERGE,BS-1-125,BS-4-402,,"부산 동래역 1호선·4호선은 실제 환승역이다.",user,2026-09-07
KEEP_SEPARATE,BS-1-125,KR-K6-K114,,"부산 도시철도 동래역(1호선)과 동해선 동래역은 환승되지 않는 별개의 역이다.",user,2026-09-07
KEEP_SEPARATE,BS-4-402,KR-K6-K114,,"부산 도시철도 동래역(4호선)과 동해선 동래역은 환승되지 않는 별개의 역이다.",user,2026-09-07
MERGE,S1-4-432,S1-7-736,,"4호선 총신대입구역과 7호선 이수역은 같은 역사를 공용하는 실제 환승역이다. 4호선은 '총신대입구(이수)', 7호선은 '이수(총신대입구)'로 노선마다 표기 순서가 다르다(사용자 확인) — 병합해 환승 정보는 공유하되 역명은 동기화하지 않는다(각자 표기 그대로 표시·검색된다), 아산/천안아산과 같은 원칙. (2026-09-14: 7호선 원본 코드 전체 재정렬로 source_record_id가 S1-7-2738→S1-7-736으로 바뀌어 갱신함.)",user,2026-09-07
KEEP_SEPARATE,BS-1-116,KR-K6-K125,,"부산 도시철도 좌천역(1호선)과 동해선 좌천역은 이름만 같을 뿐 환승되지 않는 별개의 역이다.",user,2026-09-07
MERGE,BS-1-120,KR-K6-K110,,"부산 도시철도 부전역(1호선)·동해선 부전역·일반열차(무궁화호 등) 부전역은 실제로 환승 가능하다 — 이전 판단(KEEP_SEPARATE)을 사용자 확인(2026-09-16)에 따라 정정한다.",user,2026-09-16
MERGE,GL-경부선-KTX-S043,AR-A1-A01,,"KTX 경부선 서울역과 기존 서울역(1호선·4호선·경의중앙선·공항철도·GTX-A)은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S041,KR-K7-K115,,"KTX 경부선·경전선 서대구역과 대경선 서대구역은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S023,DG-1-0135,,"KTX 경부선·경전선 동대구역과 기존 동대구역(대구 1호선·대경선)은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S035,BS-1-113,,"KTX 경부선 부산역과 부산 1호선 부산역은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S009,KR-1-P144-1,,"KTX 경부선·호남선·전라선·경전선 광명역과 1호선 광명역(KTX 셔틀 구간)은 같은 역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S048,KR-1-P155,,"KTX 경부선 수원역과 기존 수원역(1호선·수인분당선)은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S021,DJ-1-0004,,"KTX 경부선·경전선 대전역과 대전 1호선 대전역은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S004,KR-K7-K119,,"KTX 경부선·경전선 경산역과 대경선 경산역은 같은 역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S012,BS-3-314,,"KTX 경부선 구포역과 부산 3호선 구포역은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S058,KR-1-139,,"KTX 경부선·호남선·전라선·경전선 영등포역과 1호선 영등포역은 같은 역이다.",user,2026-09-08
MERGE,GL-경부선-KTX-S087,KR-K4-K320,,"KTX(경부선 등 다수 노선) 행신역과 경의중앙선 행신역은 같은 역이다.",user,2026-09-08
MERGE,GL-호남선-KTX-S062,KR-1-135,,"KTX 호남선·전라선 용산역과 기존 용산역(1호선·경의중앙선)은 같은 역이다. 대구 2호선의 '용산(서부법원.검찰청입구)역'과는 이름만 같을 뿐 완전히 다른 역이라 별도로 KEEP_SEPARATE를 명시했다.",user,2026-09-08
MERGE,GL-호남선-KTX-S010,GJ-1-117,,"KTX 호남선 광주송정역과 광주 1호선 광주송정역은 같은 역사를 공용하는 환승역이다.",user,2026-09-08
