action,left_source_id,right_source_id,canonical_station_id,reason,verified_by,verified_at
REVIEW,AR-A1-A01,GX-A-X106,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,AR-A1-A01,KR-K4-P313,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,AR-A1-A01,S1-1-133,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,AR-A1-A01,S1-4-426,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GX-A-X106,KR-K4-P313,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GX-A-X106,S1-1-133,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GX-A-X106,S1-4-426,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,KR-K4-P313,S1-1-133,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,KR-K4-P313,S1-4-426,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,S1-1-133,S1-4-426,,"잠정 병합(역명 일치 ""서울"", 지역 SEOUL_METRO) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-경부선-KTX-S043,GL-호남선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-경부선-KTX-S043,GL-전라선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-경부선-KTX-S043,GL-강릉선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-경부선-KTX-S043,GL-중앙선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-경부선-KTX-S043,GL-동해선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-경부선-KTX-S043,GL-경전선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-호남선-KTX-S043,GL-전라선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-호남선-KTX-S043,GL-강릉선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-호남선-KTX-S043,GL-중앙선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-호남선-KTX-S043,GL-동해선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
REVIEW,GL-호남선-KTX-S043,GL-경전선-KTX-S043,,"잠정 병합(역명 일치 ""서울"", 지역 KTX) — 좌표 정보가 한쪽 또는 양쪽에 없고 공식 환승 관계도 확인되지 않음 — 수동 검수 필요",,
